ID,corral,date,notes,sample.type,sample.mass.mg,C_12:0,C_13:0,C_14:0,C_15:0,C_16:0,C_17:0,C_18:0,C_20:0,C_22:0,C_24:0,total_SFAs,C_12:1,C_14:1,C_16:1n-7,C_16:1n-9,C_18:1n-7,C_18:1n-9,C_20:1n-9,C_22:1n-9,total_MUFAs,C_18:2n-6,C_18:3n-6,C_20:2n-6,C_20:3n-6,C_20:4n-6,C_22:2n-6,C_22:4n-6,C_22:5n-6,total_N-6_PUFAs,C_18:3n-3,C_18:4n-3,C_20:3n-3,C_20:4n-3,C_20:5n-3,C_22:5n-3,C_22:6n-3,C_24:5n-3,C_24:6n-3,total_N-3_PUFAs,PUFAs,HUFAs,EPA+DHA,N-6/N-3,total_FAs
ZP_20,B,"Aug. 9, 2021",,zooplankton,9.6,0.081,0.029,12.398,0.28,14.915,0.191,1.631,0.189,0.262,0.32,30.297,0.01,0.078,18.781,0.145,1.202,3.783,0.117,1.706,25.82,2.386,1.407,0.063,0.179,5.871,0.095,0.1,1.1,11.202,1.953,3.331,0.038,0.467,14.146,0.213,3.75,0.025,0.044,23.967,35.169,25.397,17.896,0.467,91.29
ZP_21,C,"Aug. 9, 2021",,zooplankton,10.3,0.144,0.07,7.425,0.437,16.209,0.74,3.544,0.245,0.205,0.13,29.149,0.024,0.092,2.957,0.546,2.122,6.815,0.291,3.31,16.158,4.3,0.725,0.239,0.341,3.364,0.109,0.384,3.242,12.703,6.89,7.1,0.198,1.165,6.854,0.454,9.494,0.01,0.136,32.3,45.003,24.33,16.348,0.393,90.31
ZP_22,D,"Aug. 9, 2021",,zooplankton,9.9,0.114,0.068,9.447,0.484,15.712,0.527,3.315,0.235,0.242,0.146,30.289,0.027,0.093,4.882,0.567,2.5,5.08,0.156,1.348,14.653,6.664,0.916,0.283,0.249,5.572,0.076,0.276,3.731,17.766,5.366,7.702,0.098,0.463,7.179,0.288,5.96,0.009,0.088,27.153,44.919,23.353,13.139,0.654,89.86
ZP_23,E,"Aug. 9, 2021",,zooplankton,9.3,0.12,0.059,6.516,0.557,18.114,0.831,4.506,0.296,0.258,0.144,31.401,0.025,0.046,3.607,0.758,2.502,7.174,0.262,2.992,17.365,3.556,0.609,0.296,0.243,3.961,0.116,0.173,2.717,11.672,3.71,5.008,0.095,0.619,7.311,0.311,10.659,0.013,0.054,27.782,39.453,25.471,17.97,0.42,88.22
ZP_24,F,"Aug. 9, 2021",,zooplankton,9.6,0.125,0.067,8.611,0.564,14.811,0.682,3.308,0.207,0.237,0.175,28.787,0.02,0.097,4.579,0.436,1.945,4.724,0.27,3.084,15.155,5.898,0.912,0.263,0.283,5.009,0.098,0.315,4.381,17.159,5.063,8.93,0.133,0.782,6.514,0.457,7.303,0.008,0.122,29.313,46.472,24.396,13.817,0.585,90.41
ZP_25,G,"Aug. 9, 2021",,zooplankton,9.7,0.06,0.046,6.363,0.408,14.052,0.479,4.225,0.379,0.402,0.195,26.61,0.016,0.051,3.125,0.46,2.192,5.467,0.206,1.037,12.555,6.56,0.829,0.411,0.327,6.055,0.066,0.344,4.84,19.431,5.536,7.336,0.122,0.597,8.416,0.377,10.272,0.009,0.159,32.825,52.256,30.753,18.688,0.592,91.42
ZP_26,H,"Aug. 9, 2021",,zooplankton,4.7,0.165,0.115,3.167,1.079,16.042,1.459,3.577,0.738,0.38,0.282,27.004,0.033,0.033,2.334,0.868,2.556,6.96,0.643,2.999,16.424,7.275,0.278,0.521,0.305,4.666,0.114,0.351,2.771,16.281,8.38,4.663,0.363,0.76,5.638,0.502,9.826,0.024,0.132,30.287,46.568,24.422,15.464,0.538,90
ZP_27,I,"Aug. 9, 2021",,zooplankton,10.3,0.112,0.085,5.448,0.75,16.269,0.98,3.125,0.25,0.225,0.159,27.403,0.026,0.106,3.631,0.734,2.55,5.423,0.344,4.917,17.732,5.095,0.917,0.225,0.172,4.889,0.112,0.145,1.874,13.429,12.158,4.775,0.233,0.552,6.876,0.278,5.234,0.02,0.092,30.219,43.648,19.701,12.11,0.444,88.78
FF_1-1,NA,NA,,fish food,62.6,0.087,0.048,2.649,0.716,21.764,1.461,3.879,0.224,0.218,0.031,31.077,0.027,0.011,2.67,0.232,1.927,13.382,0.64,0.036,18.926,4.579,0.189,0.489,0.15,4.001,0.095,0.15,2.21,11.864,3.892,1.256,0.36,0.307,9.697,0.202,15.693,0.219,0.037,31.663,43.526,32.463,25.39,0.375,93.528
FF_1-2,NA,NA,,fish food,66.6,0.087,0.047,2.653,0.722,21.744,1.431,4.021,0.203,0.212,0.028,31.149,0.026,0.01,2.731,0.203,1.987,13.834,0.706,0.039,19.537,4.573,0.166,0.476,0.153,3.845,0.044,0.147,2.129,11.533,3.828,1.207,0.354,0.297,9.638,0.211,15.177,0.209,0.032,30.953,42.486,31.653,24.815,0.373,93.171
FF_1-3,NA,NA,,fish food,55.2,0.09,0.053,2.854,0.734,22.274,1.443,3.892,0.194,0.207,0.025,31.769,0.027,0.127,2.726,0.218,1.861,13.551,0.661,0.029,19.198,4.57,0.145,0.47,0.15,3.731,0.055,0.137,2.169,11.427,3.944,1.232,0.323,0.295,9.311,0.233,15.716,0.236,0.041,31.332,42.759,31.77,25.027,0.365,93.726
FF_2-1,NA,NA,,fish food,65.5,0.088,0.05,2.61,0.697,21.617,1.415,4.065,0.23,0.205,0.026,31.002,0.025,0.133,2.593,0.219,1.947,13.484,0.697,0.026,19.123,4.526,0.158,0.503,0.148,3.95,0.041,0.135,2.137,11.599,3.9,1.245,0.343,0.304,10.046,0.185,15.893,0.192,0.04,32.149,43.748,32.839,25.94,0.361,93.874
FF_2-2,NA,NA,,fish food,55.8,0.08,0.048,2.648,0.734,22.119,1.421,3.925,0.193,0.185,0.022,31.376,0.028,0.134,2.819,0.231,1.918,13.712,0.601,0.027,19.471,4.78,0.183,0.461,0.148,3.735,0.055,0.139,2.149,11.649,4.137,1.302,0.367,0.323,9.705,0.204,15.429,0.181,0.034,31.683,43.332,31.876,25.134,0.368,94.178
FF_2-3,NA,NA,,fish food,55.5,0.073,0.044,2.402,0.701,21.538,1.461,4.072,0.206,0.192,0.031,30.719,0.025,0.158,2.596,0.217,1.977,13.498,0.668,0.047,19.187,4.561,0.174,0.481,0.149,4.015,0.053,0.145,2.189,11.768,3.978,1.241,0.364,0.31,10.195,0.202,15.582,0.177,0.035,32.085,43.853,32.841,25.777,0.367,93.759
FF_3-1,NA,NA,,fish food,64,0.08,0.05,2.557,0.719,22.225,1.473,3.987,0.211,0.192,0.026,31.519,0.027,0.162,2.597,0.229,1.872,13.672,0.685,0.042,19.286,4.656,0.169,0.498,0.143,3.785,0.051,0.139,2.178,11.619,3.944,1.186,0.337,0.292,9.576,0.202,15.806,0.191,0.041,31.575,43.194,32.165,25.382,0.368,94
FF_3-2,NA,NA,,fish food,56.1,0.085,0.05,2.737,0.749,22.498,1.449,3.935,0.195,0.189,0.026,31.912,0.027,0.135,2.701,0.237,1.862,13.627,0.634,0.028,19.251,4.575,0.157,0.462,0.142,3.876,0.043,0.137,2.159,11.551,3.96,1.229,0.351,0.302,9.555,0.21,15.186,0.177,0.032,31.003,42.555,31.617,24.742,0.373,93.717
FF_3-3,NA,NA,,fish food,61.7,0.095,0.054,2.71,0.747,22.288,1.456,3.921,0.19,0.19,0.025,31.677,0.03,0.156,2.597,0.234,1.862,13.582,0.611,0.024,19.096,4.625,0.161,0.464,0.145,3.821,0.051,0.139,2.189,11.595,3.901,1.158,0.348,0.294,9.578,0.224,15.749,0.215,0.033,31.5,43.095,32.193,25.327,0.368,93.867
