mp_conc,corral,day,date_sampled,order,biomass_ug_l
414,C,-1,2021-06-01,Cyclopoida,9.128078715
414,C,5,2021-06-07,Calanoida,8.476582392
414,C,5,2021-06-07,Cladocera,7.94583865
414,C,5,2021-06-07,Cyclopoida,0.855623689
414,C,12,2021-06-14,Calanoida,9.159355334
414,C,12,2021-06-14,Cladocera,10.91735083
414,C,12,2021-06-14,Cyclopoida,1.218421713
414,C,19,2021-06-21,Calanoida,31.32424742
414,C,19,2021-06-21,Cladocera,12.03678862
414,C,19,2021-06-21,Cyclopoida,3.886840374
414,C,33,2021-07-05,Calanoida,37.40270676
414,C,33,2021-07-05,Cladocera,77.92694604
414,C,33,2021-07-05,Cyclopoida,0.961558046
414,C,54,2021-07-26,Calanoida,6.227718132
414,C,54,2021-07-26,Cladocera,20.25739532
414,C,54,2021-07-26,Cyclopoida,0.417625848
414,C,68,2021-08-09,Calanoida,12.88705088
414,C,68,2021-08-09,Cladocera,18.45974155
414,C,68,2021-08-09,Cyclopoida,5.140532798
1710,I,-1,2021-06-01,Calanoida,29.35395097
1710,I,-1,2021-06-01,Cladocera,19.87491596
1710,I,-1,2021-06-01,Cyclopoida,2.059404732
1710,I,5,2021-06-07,Calanoida,11.97644997
1710,I,5,2021-06-07,Cladocera,6.424511579
1710,I,5,2021-06-07,Cyclopoida,0.16501314
1710,I,12,2021-06-14,Calanoida,9.393267141
1710,I,12,2021-06-14,Cladocera,7.452074884
1710,I,12,2021-06-14,Cyclopoida,0.315765885
1710,I,19,2021-06-21,Calanoida,12.23043893
1710,I,19,2021-06-21,Cladocera,7.198104045
1710,I,19,2021-06-21,Cyclopoida,1.223451334
1710,I,33,2021-07-05,Calanoida,23.27785361
1710,I,33,2021-07-05,Cladocera,36.19797182
1710,I,33,2021-07-05,Cyclopoida,0.855623689
1710,I,54,2021-07-26,Calanoida,7.878664413
1710,I,54,2021-07-26,Cladocera,16.45649561
1710,I,54,2021-07-26,Cyclopoida,0.313219386
1710,I,68,2021-08-09,Calanoida,22.4670483
1710,I,68,2021-08-09,Cladocera,16.04294416
1710,I,68,2021-08-09,Cyclopoida,2.984496915
7071,G,-1,2021-06-01,Calanoida,20.58645828
7071,G,-1,2021-06-01,Cladocera,25.99873694
7071,G,-1,2021-06-01,Cyclopoida,11.74771324
7071,G,5,2021-06-07,Calanoida,20.05715378
7071,G,5,2021-06-07,Cladocera,23.4291496
7071,G,5,2021-06-07,Cyclopoida,0.972015673
7071,G,12,2021-06-14,Calanoida,8.146243744
7071,G,12,2021-06-14,Cladocera,4.820349776
7071,G,12,2021-06-14,Cyclopoida,0.794168178
7071,G,19,2021-06-21,Calanoida,25.89225933
7071,G,19,2021-06-21,Cladocera,20.94409643
7071,G,19,2021-06-21,Cyclopoida,3.082961547
7071,G,33,2021-07-05,Calanoida,35.46935939
7071,G,33,2021-07-05,Cladocera,19.30992416
7071,G,33,2021-07-05,Cyclopoida,1.072924941
7071,G,54,2021-07-26,Calanoida,10.1870828
7071,G,54,2021-07-26,Cladocera,17.55929307
7071,G,54,2021-07-26,Cyclopoida,4.322257763
7071,G,68,2021-08-09,Calanoida,36.28577831
