"","corral","ID","date.collected","time.collected","body.weight","TL","FL","liver.weight","gonad.weight","sex","MPconcentration","YP.start","YP.end","SS","BB","treatment","FultonK"
"47","G","G3","2021-08-23","10:00 AM",10,10.2,9.9,0.087,0.09771,"F",7071,23,9,4,0,"7,071",0.00942322334547045
"48","G","G4","2021-08-23","10:00 AM",9.5,10.1,9.6,-0.198,-0.252,"M",7071,23,9,4,0,"7,071",0.00922060640531262
"49","G","G5","2021-08-23","10:00 AM",10.6,10.1,9.8,0.0819,0.4545,"M",7071,23,9,4,0,"7,071",0.010288255568033
"50","G","G6","2021-08-23","10:30 AM",10.2,10.5,10.1,NA,NA,"F",7071,23,9,4,0,"7,071",0.00881114350502105
"51","G","G9","2021-08-23","5:30 PM",7.17,9.1,NA,0.107,NA,NA,7071,23,9,4,0,"7,071",0.00951469735433025
"52","G","G12","2021-08-24","9:30 AM",7.95,9.5,NA,0.099,NA,NA,7071,23,9,4,0,"7,071",0.00927248870097682
"53","G","G13","2021-08-24","9:30 AM",10.63,9.9,NA,0.06,NA,NA,7071,23,9,4,0,"7,071",0.0109553859171245
"54","H","H1","2021-08-24","2:00 PM",4,7.1,6.9,0.035,NA,NA,0,26,17,0,0,"0(2)",0.0111759627393402
"55","H","H2","2021-08-24","2:00 PM",3.1,6.8,6.5,NA,NA,NA,0,26,17,0,0,"0(2)",0.00985904742519845
"56","H","H3","2021-08-24","2:00 PM",4.3,7.5,7.2,NA,NA,NA,0,26,17,0,0,"0(2)",0.0101925925925926
"57","H","H4","2021-08-24","2:00 PM",7.6,9.5,9,0.0854,0.0417,"F",0,26,17,0,0,"0(2)",0.00886426592797784
"58","H","H12","2021-08-24","2:00 PM",9.4,9.5,9.2,0.1267,0.0153,"M",0,26,17,0,0,"0(2)",0.0109636973319726
"59","H","H6","2021-08-24","2:00 PM",7.5,9.4,9,0.0848,0.0661,"F",0,26,17,0,0,"0(2)",0.00902979108675342
"60","H","H7","2021-08-24","2:00 PM",8.9,9.9,9.5,0.098,0.0835,"M",0,26,17,0,0,"0(2)",0.00917243035394244
"61","H","H8","2021-08-24","2:00 PM",8.8,9.5,9.2,0.0418,0.0978,"M",0,26,17,0,0,"0(2)",0.0102638868639743
"62","H","H15","2021-08-24","2:00 PM",9.6,9.9,9.5,0.1163,0.0594,"F",0,26,17,0,0,"0(2)",0.0098938574604323
"63","H","H10","2021-08-24","2:00 PM",8.6,9.5,9.1,0.0969,0.059,"M",0,26,17,0,0,"0(2)",0.0100306167079749
"64","H","H11","2021-08-24","2:00 PM",7.5,9.4,9,0.082,NA,NA,0,26,17,0,0,"0(2)",0.00902979108675342
"65","H","H16","2021-08-24","2:00 PM",10.6,10.2,9.9,0.0951,-0.056,"M",0,26,17,0,0,"0(2)",0.00998861674619867
"66","H","H13","2021-08-24","2:00 PM",7.7,9.1,8.7,0.061,NA,NA,0,26,17,0,0,"0(2)",0.0102180152898665
"67","H","H14","2021-08-24","2:00 PM",7.9,9.2,8.9,0.066,NA,NA,0,26,17,0,0,"0(2)",0.0101452699926029
"68","H","H5","2021-08-24","2:00 PM",9.3,9.6,9.4,0.1102,0.0687,"M",0,26,17,0,0,"0(2)",0.0105116102430556
"69","H","H9","2021-08-24","2:00 PM",9.5,9.9,9.5,0.1383,0.1509,"F",0,26,17,0,0,"0(2)",0.00979079644521946
"70","H","H17","2021-08-24","3:00 PM",4,7.4,7,0.04,NA,NA,0,26,17,0,0,"0(2)",0.00987108364756283
"71","I","I2","08-20-2021","2:00 PM",9.74,10.4,NA,0.09,NA,NA,1710,23,10,1,1,"1,710",0.00865882453345471
"72","I","I3","08-20-2021","2:00 PM",8.53,9.6,NA,0.068,NA,NA,1710,23,10,1,1,"1,710",0.00964129412615741
"73","I","I6","08-20-2021","4:00 PM",10.7,10.3,9.8,0.111,0.108,"F",1710,23,10,1,1,"1,710",0.0097920157550788
"74","I","I7","08-20-2021","4:00 PM",9.2,10.1,9.5,0.0706,0.0393,"M",1710,23,10,1,1,"1,710",0.00892942936093433
"75","I","I8","08-20-2021","4:00 PM",8.1,9.8,9.3,0.0844,0.0653,"F",1710,23,10,1,1,"1,710",0.00860610799921801
"76","I","I9","08-20-2021","4:00 PM",10.1,10.7,9.9,0.038,NA,NA,1710,23,10,1,1,"1,710",0.00824460855659761
"77","I","I10","08-20-2021","4:00 PM",8.52,9.9,NA,0.039,NA,NA,1710,23,10,1,1,"1,710",0.00878079849613366
"78","I","I11","2021-08-21","12:30 PM",9.96,10.4,NA,0.023,NA,NA,1710,23,10,1,1,"1,710",0.00885440373236231
"79","I","I12","2021-08-21","12:30 PM",10.8,10.3,10.1,0.0819,0.102,"F",1710,23,10,1,1,"1,710",0.00988352992101412
